"IdDec","IdHex","Tag"
"33434","0x829A","ExifExposureTime"
"33437","0x829D","ExifFNumber"
"34665","0x8769","ExifIFD"
"34675","0x8773","ICCProfile"
"34850","0x8822","ExifExposureProg"
"34852","0x8824","ExifSpectralSense"
"34853","0x8825","GpsIFD"
"34855","0x8827","ExifISOSpeed"
"34856","0x8828","ExifOECF"
"36864","0x9000","ExifVer"
"36867","0x9003","ExifDTOrig"
"36868","0x9004","ExifDTDigitized"
"37121","0x9101","ExifCompConfig"
"37122","0x9102","ExifCompBPP"
"37377","0x9201","ExifShutterSpeed"
"37378","0x9202","ExifAperture"
"37379","0x9203","ExifBrightness"
"37380","0x9204","ExifExposureBias"
"37381","0x9205","ExifMaxAperture"
"37382","0x9206","ExifSubjectDist"
"37383","0x9207","ExifMeteringMode"
"37384","0x9208","ExifLightSource"
"37385","0x9209","ExifFlash"
"37386","0x920A","ExifFocalLength"
"37500","0x927C","ExifMakerNote"
"37510","0x9286","ExifUserComment"
"37520","0x9290","ExifDTSubsec"
"37521","0x9291","ExifDTOrigSS"
"37522","0x9292","ExifDTDigSS"
"40960","0xA000","ExifFPXVer"
"40961","0xA001","ExifColorSpace"
"40962","0xA002","ExifPixXDim"
"40963","0xA003","ExifPixYDim"
"40964","0xA004","ExifRelatedWav"
"40965","0xA005","ExifInterop"
"41483","0xA20B","ExifFlashEnergy"
"41484","0xA20C","ExifSpatialFR"
"41486","0xA20E","ExifFocalXRes"
"41487","0xA20F","ExifFocalYRes"
"41488","0xA210","ExifFocalResUnit"
"41492","0xA214","ExifSubjectLoc"
"41493","0xA215","ExifExposureIndex"
"41495","0xA217","ExifSensingMethod"
"41728","0xA300","ExifFileSource"
"41729","0xA301","ExifSceneType"
"41730","0xA302","ExifCfaPattern"
